id,name,links,ingredients,recipe
51,Paneer Tikka,https://youtu.be/c-oVDb-O2Q8,"For Marinate:cup yogurt,1 tbsp ginger garlic paste,1 tsp kasuri methi ,1 tbsp mustard oil,Salt to taste,1 tsp carom seeds (ajwain),1 tbsp roasted gram flour (besan),1 tbsp degi mirch ,1 tbsp Panchranga achaar paste,tsp turmeric powder,cup green capsicum,cut in cubes,cup onions,cut in quarters,cup red bell peppers,cut in cubes,350 gms Paneer,cut in cubes,For Tikka:1 tbsp mustard oil,2 tbsp butter,Kasuri methi for garnish,Charoal ,1 tbsp ghee ","1)Add yogurt, ginger garlic paste, kasuri methi and mustard oil in a bowl and add mix well,Add salt and carom seeds, mix well. 
2)Add roasted gram flour and mix well,Note: If the yogurt is not sour, add some lemon juice and if the yogurt is sour you can use it as is. 
3)This marinade can be used for any and every type of Paneer Tikka as explained in the video.
4)Divide the prepared mixture into two parts, in one part add degi mirch for Paneer Tikka and mix well. 
5)Set aside till in use,In the other half the marinade add panchranga achaar paste for Achari Paneer Tikka along with some turmeric powder and mix well.
6)To both the prepared marinades, add green capsicum, onions, red bell peppers and cubed Paneer, mix and coat well.
7)Skewer the vegetables and paneer and set aside till in use.
8)Heat mustard oil on a grill pan till smoking point and add some butter, roast the prepared paneer tikka skewers on the grill pan.
9)Bast with butter and cook from all sides.
10)Transfer the cooked tikka to the serving plate, place hot coal in a bowl net to the tikka, pour ghee on top and cover the tikkas for 2 minutes to smoke.
11)Garnish with kasuri methi and serve hot with choice of dip/sauce/chutney."
52,Paneer,http://www.youtube.com,the ingredients to prepare paneer is listed above,"paneer,oil,2spoons, mix"
53,Butter Chicken,https://youtu.be/RKNogWbAivY,"Boneless chicken 1kg,For marinade,Mustard oil 2 tbsp,Kashmir Red chilli powder 2 tbsp,Ginger garlic paste 2 tbsp,Dhaniya (Coriander) powder 1 tbsp,Jeera (cumin) powder 1 tsp,Haldi (turmeric) powder 1 tsp,Kasuri methi 1 tsp,Amchur powder 1 tsp,Black salt 1 tsp,Garam masala 1 tsp,Fresh mint 1 tbsp,Fresh Coriander 1 tbsp,Salt to taste,Thick curd 1.5 cup,Lemon juice 1 tbsp,Live charcoal + ghee ,Oil for grilling","1)Start by slicing the chicken breast, you can also use chicken thighs, as per your convenience, slice them thinly for even and faster cooking.
2)For marinade, take mixing bowl, add Mustard oil and Kashmiri Red chilli powder, mix well to bleed it's natural red colour. 
3)Further add the remaining marinade ingredients and mix well, now add the thinly sliced chicken, mix and coat well and keep it marinated for at-least an hour or two, but incase if you have time keep it for as long as you can for more juicy and flavourful chicken, please do not go beyond 20 hours in the fridge or else the chicken may spoil. 
4)Smoke the marinated chicken for 4-5 minutes to impart the smoky flavour. 
5)You can smoke the chicken at three stage that'll make difference of smoke flavour in the dish, one is, you can smoke at the marination stage where you'll get subtle flavour of smoke, second you can smoke after grilling and third you can smoke at final stage just before serving the dominant smoke flavour, the choice is yours. 
6)Once it's been marinated and smoked, set a grill pan or any pan and grill the chicken on both the sides until golden brown in colour, you can also grill them oven for 5-6minutes at 220 degree C.
7)Once the chicken is grilled let them cool for a while and shred them in thin strips. Keep aside for later use."
54,Chicken Kabaab,https://youtu.be/BUUGpMtxutQ,"Onions 2 medium size ,Garlic 7-8 cloves,Ginger 1 inch,Green chillies 2-3 nos,Chicken 150 gm,Fresh mint leaves 3 tbsp (chopped),Fresh coriander leaves 3 tbsp (chopped),Powdered spices:Black salt 1 tsp,Coriander powder 2 tbsp,Cumin powder (jeera) 1 tsp,Garam masala 1 tsp,Turmeric powder 1 tsp],Red chilli powder 1 tbsp","1)Add the onions, garlic, ginger and green chillies in a food processor and chop them finely, if you don?t have food processer then you have to chop it with knife. 
2)Do not use grinder as you may end up making the paste.
3)Transfer the chopped onions to a muslin cloth and squeeze out to remove excess moisture.
4)Mince the chicken finely with knife or directly mince it in the food processor or mixer grinder.
5)Transfer the minced chicken and chopped onions to a mixing bowl, further add freshly chopped mint and coriander leaves, powdered spices, Salt & pepper to taste and ghee, mix and combine well.
6)Make space in between and place a bowl, place a live charcoal in the centre and add few drops of ghee, cover and smoke for 3-5 minutes.
7)Dip your hands in water to prevent the chicken mixture sticking to your palms while shaping it over a bamboo skewers, if you have steel skewers please use them as well.
8)Make as many as you wish and grill them,Set a pan on medium heat, add ghee and grill the seekh from all sides until golden brown in colour. You can also grill them on open fire and do apply ghee or butter at regular interval for getting the golden colour as well as charred flavour.
9)Your chicken seekh kebab is ready to be served, serve hot by squeezing some fresh lemon and sprinkling some chat masala, serve with chutney and some fresh mint leaves and sliced onions.
"
55,Lemon Chicken,https://youtu.be/UBMqcTHHE8Y,"Chicken, large pieces with bones 500 gms,For Marination:Salt1 tsp,Crushed Pepper1 tsp (coarse granules),Lemon Juice2 tsp,Thick whisked curd/yogurt2 tbsp,Ginger,Garlic Paste1.5 tsp,Whole Spices:Green Cardamom3,Cloves-3,Cinnamon2,Black Peppercorns10,Other Ingredients:Whisked curd/plain yogurt ,4 tbsp,Crushed Pepper1/4 tsp,Green Chillies, slit 4.Garam Masala Powder1/4 tsp Oil 3 tbsp,Buttera dollop (1 tbsp) Coriander leaves,finely chopped1 tbsp
","1)Heat oil & butter in a flat pan and add the whole spices.
2)Once it splutters, add the marinated chicken & fry on high heat for 1 min and then flip the chicken pieces.
3)Continue to fry for 2-3 more mins on high turning the pieces a few times.
4)Add the balance marinade and continue to fry on both sides for another 5 mins on medium heat till evenly browned.
5)Now reduce the heat to low, add the whisked curd/plain yogurt, 1/4 tsp crushed Pepper, slit green chillies and mix everything well.
6)Cover & cook on low heat for 15 mins, flipping and stirring after 10 mins. Cook till the liquid has nearly dried and the chicken is tender.
7)Now add the garam masala powder, mix well and fry for another 5 mins till the chicken pieces are browned.
8)Garnish with finely chopped coriander leaves and serve hot. 
Preparation:
1)Crush the black peppercorns.
2)Marinate the chicken pieces with items indicated. 
3)Mix & set aside for 1 hr.Whisk the curd/yogurt.
4)Slit the green chillies and fine chop the coriander leaves."
56,Brinjal Chicken,https://youtu.be/SMwam0Bpfgg,"1.5 Lb (680g) Chicken Thighs,3 Eggplants,1.5 Cup Rice,1 Small Onion,1/2 Tsp Ground Cardamom,1/2 Tsp Coriander Seeds,1/2 Tsp Ground Cinnamon,Curry Powder,Salt,Black Pepper,Vegetable Oil","Preparations:
1) Dice the onion.
2)Slice the eggplants.
3)Grind the coriander seeds.
Directions:
1) Fry the onions with vegetable oil until golden.
2)Stir in ground cardamom, coriander seeds, curry powder, black pepper, and cinnamon and continue frying for 2 more minutes.
3)Stir in the chicken thighs and continue frying for 10 minutes.
4)Add salt and enough water to top the chicken thighs one inch deep.
5)Cover the pot with a lid (leave ajar), over medium-low heat simmer for 30 minutes or until the chicken thighs are well cooked.
6)Fry the eggplants with vegetable oil (Garnishing with salt).
7)Transfer 1.5 cup of the chicken broth over to the rice pot.
8)Stir in salt and over medium heat, boil the rice until the water is evaporated (about 10 to 15 minutes).
9)Add 2 tbsp vegetable oil to a large pot.
10)Lay the chicken thighs onto the pot and top with the fried eggplants and cover with the rice.
11)Cover the pot with a napkin and a lid.
12)Over medium-low heat, cook for 45 minutes."
57,Chicken Curry,https://youtu.be/keu_4AbHXIk,"For Chicken Masala:5-6 no Black cardamom,12-15 Green cardamom ,2 tbsp Coriander seeds,1 no Mace,1 tsp Black Pepper corn,1 tsp Cumin seeds,2-3 Cloves,1 tsp,Salt,For Marinating Chicken:750 gm Chicken (with bone) cut in big pieces ,1.5 inch Ginger,5 no Garlic clove,2-3 Green chillies,1 tbsp Oil,1 tsp Salt,For Tempering:1 tbsp Oil,1 tsp Cumin ","For Chicken Masala:
1)In a pan, add black cardamom, green cardamom, coriander seeds, mace, black peppercorns, cumin seeds, cloves and salt dry roast on low flame until the spices turn aromatic.
2)Transfer it into a grinder jar and grind into a fine powder. Keep it aside for further use.
3)For Marinating Chicken,In a motarpestel, add ginger, garlic, green chilli, salt, oil and make a smooth paste out of it,In a bowl, add chicken and prepared ginger garlic paste marinated well. Keep it for 10-15 minutes.
4)For Tempering:Heat oil in a heavy bottom pot, add cumin seeds, black cardamom and saute well.
5)Add onion and saute for 5 minutes until translucent.
6)Add turmeric powder, degi red chilli powder, coriander powder and saute for 2-4 minutes.
7)Add marinated chicken and mix everything well.
8)Add tomato puree, water as required and cook for at least 15-20 minutes on medium flame.
9)Add prepared chicken masala and mix well,Garnish it with coriander sprig and serve hot with mirch roti."
58,Chicken,http://www.youtube.com,all the ingredients required to prepare chicken is present above,all the ingredients to prepare chutney are put together to make it perfect 
59,Brinjal Ravafry,https://youtu.be/QpUEtg3nUN0,"1 tbsp kashmiri red chilli powder / lal mirch powder,1 tsp turmeric / haldi,pinch of hing / asafoetida,2 tbsp rice flour,1 tsp salt,2 tbsp water,1 brinjal / baingan /eggplant (thickly sliced),oil for deep frying,For rava coating:1 cup rava / semolina / sooji,1 tsp kashmiri red chilli powder / lal mirch powder,1 tsp salt","1)Firstly, in a large mixing bowl take 1 tbsp chilli powder, 1  tsp turmeric, pinch of hing, 2 tbsp rice flour and 1  tsp salt.
2)Combine well making sure the spices are mixed.
3)Now add 2 tbsp water and prepare a masala paste.
4)Add in 1 brinjal thickly slices and coat with masala paste.
5)Coat well and rest for 20 minutes.
6)Meanwhile prepare rava mixture by mixing 1  cup rava, 1  tsp chilli powder and 1  tsp salt.
7)Now coat the marinated baingan with rava on both sides.
8)Shallow fry or pan fry in hot oil.
9)Fry on low flame making sure to cook well.
10)Now flip over and cook brinjal on both the sides. do not over cook as then brinjal will loose shape.
11)Finally, serve brinjal fry recipe / brinjal rava fry as a side dish."
60,Brinjal Bharta,https://youtu.be/U-Km4u20cI8,"400 grams brinjal / baingan / eggplant,3 clove garlic,1 chilli,1 tsp oil,Other ingredients:2 tbsp oil,1 tsp cumin / jeera,1 dried red chilli (broken),1 inch ginger (finely chopped),2 clove garlic (finely chopped),1 onion (finely chopped),1 tsp kashmiri red chilli powder,1 tsp coriander powder,1 tomato (finely chopped),1 tsp salt,1 tsp garam masala,2 tbsp coriander (finely chopped)","1)Firstly, take large-sized brinjal and make 4 slits,stuff in 3 garlic and 1 chilli in each slit,grease the baingan with oil as it helps to peel off the skin easily once roasting,start roasting on gas stove flipping occasionally.
2)Roast until brinjal turns dark and cooked completely from inside,cool the baingan completely and start to peel the skin off.
3)Take off the head of brinjal and check if the brinjal is cooked completely from inside,mash the eggplant with the help of a fork. 
4)Keep aside,in a large kadai heat 2 tbsp oil and saute 1 tsp cumin, 1 dried red chilli, 1 inch ginger and 2 clove garlic,saute 1 onion until it shrinks slightly.
5)Further add 1  tsp chilli powder, 1 tsp coriander powder and saute till spices turn aromatic,add in 1 tomato and saute until tomatoes turn soft and mushy.
6)Now add in roasted and mashed brinjal along with 1 tsp salt,mix and mash for 5 minutes or until flavours are well combined,add 1  tsp garam masala and 2 tbsp coriander. 
7)Mix well,finally, enjoy baingan ka bartha with hot phulka or rice."
61,Brinjal Masala,https://youtu.be/03U5EemwRCU,"6 small sized purple brinjal / baingan / eggplant,3 tbsp oil,1 tsp mustard seeds / rai,1 tsp methi / fenugreek seeds,few curry leaves,1 onion (finely chopped),1 cup tamarind water,1 tsp jaggery / gud (optional),2 tbsp coriander leaves (finely chopped),for onion-tomato paste:2 tsp oil,1 onion (thinly sliced),1 tsp ginger garlic paste / adrak lasun paste,1 tsp turmeric powder / haldi,1 to mato (finely chopped),1 tsp coriander powder / daniya powder,1 tsp cumin powder / jeera powder,1 tsp kashmiri red chili powder / lal mirch powder,1 tsp garam masala powder,salt to taste,For stuffing:2 tbsp sesame seeds / til,1 cup coconut (fresh / desiccated / dry),cup peanuts / groundnuts (roasted & peeled),1 tsp kashmiri red chili powder / lal mirch powder,salt to taste","1)Firstly, take the cut brinjal and stuff the prepared stuffing,and fry on medium flame with 3 tbsp of oil,cover and simmer for 2-4 minutes or till they are half cooked.
2)Further, take off and keep aside,now in the same kadai add mustard seeds, methi and curry leaves,allow to splutter.
3)Further add onions and saute well.
4)Also add prepared onion-tomato paste and continue to saute.
5)Furthermore, place the stuffed and fried brinjals,and pour tamarind wate add a piece of jaggery.
6)Mix gently, cover and simmer for 5 minutes.
7)Stir occasionally and cook till the brinjal gets cooked completely.
8)Finally, serve baingan masala with chapathi or roti."
62,Brinjal Sabji,https://youtu.be/uDJ3DwuPPJs,"3 tbsp oil,1 tsp mustard / rai,1 tsp urad dal,tsp chana dal,few curry leaves:,1 onion (sliced),2 green chilli (slit),1 to mato (finely chopped),tsp turmeric / haldi,tsp salt,1 baingan / eggplant (chopped),2 tbsp coriander (finely chopped)","1)Firstly, in a large kadai heat 3 tbsp oil and splutter 1 tsp mustard, 1 tsp urad dal, 1  tsp chana dal and few curry leaves.
2)Add in 1 sliced onion and saute,also add 2 green chilli and saute well.
3)Additionally, add in 1 tomato and saute till tomatoes turn soft and mushy.
4)Furthermore add 1  tsp turmeric and 1  tsp salt. saute well,now add in 1 chopped baingan and mix gently.
5)Do not over mix, as baigan turns mushy,cover and simmer for 10 minutes or till baingan turns soft.
6)Stir occasionally, making sure the baingan doesn't burn.
7)Cover and cook till the baigan cooks well and releases oil.
8)Add in 2 tbsp coriander and mix well,finally, serve baigan ki sabji recipe with rice or roti."
63,Brinjal,http://www.youtube.com,all the ingredients to prepare biryani is present here,the ingredients are pu together to make this vegetable
64,Mutton Masala,https://youtu.be/xTWAtrV4R9E,"Mutton 750 gm,Salt to taste,Ginger garlic paste 1 tbsp,Lemon juice 1 tsp,Curd 1 cup,Ghee 4 tbsp,Whole spices:Bay leaves 2-3 nos,Green cardamom 3-4 nos,Black cardamom 1-2 nos,Cloves 3-4 nos,Cinnamon 1 inch,Onion 5-6 medium size (sliced),Ginger garlic paste 1 tbsp,Green chilli pastes 1 tbsp,Turmeric powder 1 tsp,Coriander powder 2 tbsp,Red chilli powder 1 tbsp,Tomato puree 3 medium size ,Salt to taste,Hot water 250 ml,Garam masala 1 tsp,Fresh coriander 1 tbsp (chopped)","1)In a mixing bowl add mutton, salt, ginger garlic paste, lemon juice and curd, mix well and marinate the mutton for at least 30 minutes.
2)Set a deep pan vessel or a kadhai on medium flame, add ghee and whole spices, sate them for few seconds, add onions and cook until golden brown.
3)Add ginger garlic paste and green chilli paste and further cook for 4-5 minutes, add the marinated mutton along with the remaining marinade, mix well and cook on medium high heat for about 10-12 minutes,Low down the heat and now further cook for 20-25 minutes while keep stirring in intervals.
4)Add turmeric powder, coriander powder and red chilli powder, mix well and cook for 15-20 minutes keeping the flame on medium heat while stirring in intervals,Add the tomato puree and salt and further cook for 7-8 minutes.
5)Add hot water to cook the mutton for 10-12 minutes, now cover and cook 20-25 minutes more or until the mutton is tender and soft. Keep stirring in intervals. You can adjust the quantity of water depending on how thick or thin you ant your masala gravy to be. 
6)Check for seasoning.
7)Add garam masala and freshly chopped coriander leaves and mix well, your mutton masala is ready to be served, serve hot with paratha or roti of your choice"
65,Mutton Fry,https://youtu.be/jn69U8Kf5Qg,"Mutton 500 gms (mostly boneless),To Pressure Cook mutton:Turmeric Powder1/2 tsp,Salt1 tsp,Water200 ml,Oil1/2 tbsp,To make Masala Powder:Coriander Seeds2 tsp,Black Peppercorns1.52 tsp (as per preference),Cumin Seeds1/2 tsp,Fennel Seeds3/4 tsp,Red Chillies2,Cloves3,Cinnamon 2,Green Cardamom 2,Other Ingredients:Small Shallots,halved or thick slices 150 gms  after peeling ,Curry leaves  2 sprigs,Green Chillies,slit 3,Ginger Garlic paste 2 tsp,Chopped Coriander  3 tbsp,Salt for seasoning,Oil 4 tbsp","1)Take a pressure cooker and add the mutton, turmeric powder, salt, little oil and water. 
2)Pressure cook up to 4 whistles till mutton is tender. 
3)Alternatively, add all the items in a pan and cover & cook for around 45 mins till meat is tender.
4)Take a pan and add all the spices to make the masala powder. 
5)Dry roast on low heat for 2-3 mins. Set aside to cool and grind to a coarse powder.
6)Peel the shallots and cut them into halves. In case the shallots are big, make quarters or thick slices.
7)Slit the green chillies and chop the coriander leaves,Heat oil in a pan & add the shallots. 
8)Fry on medium heat for 1-2 mins and add the slit green chillies and curry leaves. 
9)Continue to fry on medium heat for another 5-6 mins till the shallots are translucent and light brown at the edges.
10)Now add the Ginger Garlic paste and fry on low heat for 2 mins.
11)Add the boiled mutton along with the stock and give a mix. 
12)Bring to a boil.
13)Add the masala powder made in the grinder earlier and give a mix.
14)Fry this on high heat for around 6-7 mins till all the stock is absorbed and the mutton is fried and becomes dark in colour.
15)Check and add salt for seasoning if needed at this stage.
16)Add the chopped coriander leaves and fry on high heat for 1-2 mins till oil separates."
66,Mutton Korma,https://youtu.be/DRnP8ViYaiY,"Ghee 4 tbsp,Onion 4-5 medium size (sliced),Cashew nuts 8-10 nos,Mutton 1 kg,Ginger garlic paste 1 tbsp,Salt to taste,Curd 2 cups,Red chilli powder 1 tbsp,Coriander powder 4 tbsp,Turmeric powder 1 tsp,Cumin powder (jeera) 1 tsp,Lemon juice 1 tsp,Cumin seeds (Jeera) 1 tsp,Black peppercorns 3-4 nos,Cinnamon stick 1 inch,Bay leaf 1-2 nos,Cloves 4-5 nos,Black cardamom 1 no,Green Cardamom 3-4 nos,Mace 1 no,Nutmeg 1/4th (grated),Green chillies 3-4 nos. (slit0),Ginger garlic paste 2 tbsp,Hot water 750 ml,Saffron infused water 1 tbsp,Kewra water 1 tsp,Fresh garam masala 2 tsp","1)Heat ghee in a wok, add sliced onions and cook on medium heat until onions start to turn brown. 
2)Spread fried onions on a paper towel. Soak the cashew nuts in hot water for 10 minutes. 
3)Grind the fried onions and keep aside. Also grind the soaked cashew to make fine cashew paste. 
4) In a mixing bowl add mutton, ginger garlic paste, salt, curd, red chilly powder, coriander powder, turmeric powder, cumin powder and lemon juice, marinade the mutton well for minimum 1  an hour. 
5)Heat the same ghee used for frying onions, add the whole spices, green chillies and ginger garlic paste, saut‚ for 2-3 minute. 
6) Add the marinated mutton and cook on medium flame until ghee is released. 
7) Add the freshly prepared crushed fried onions. 
8) Add the cashew paste and cook for 8-10 minutes. 
9) Add the hot water and salt, mix well. 
10) Cover and cook on low medium flame for 1- 1.5 hours or until the mutton is cooked and tender. 
11) Add the saffron infused water, kewda water and fresh garam masala. Mix well and Cover and cook further for 8-10 minutes on low flame. 
12)Serve hot with roti or paratha or rice."
67,Mutton Puloa,https://youtu.be/iQB1vTgrUoA,"For Marinating Mutton:600 gm Mutton, (with bone),2 tbsp Oil,1 tsp Degi red chilli powder,Salt to taste,2 Dry Red chillies broken in half,2-3 fresh Green chillies,broken in half,1 medium Onion, roughly chopped,For Curd Mixture:1 cup Curd,1 tbsp Ginger-Garlic paste,1 tbsp Coriander powder,tsp Turmeric powder 1 tsp,Degi red chilli powder,1 heaped tbsp Fried onion,Few Mint leaves,For Mutton Pulao:1 heaped tbsp Ghee,2 inch Cinnamon stick,10-12 Black pepper cons,1 Black cardamom,Marinated Mutton,Curd Mixture,Water,1 tbsp Fried onion,Few Mint leaves,Salt to taste,600 gm Basmati rice soaked,For Garnish:Fresh Mint leaves","1)For Marinating Mutton,In a bowl add mutton, oil, degi red chilli powder, salt, dry red chillies, green chillies, onion and mix everything properly and keep aside for at least 30-60 minutes.
2)For Curd Mixture,In a bowl add curd, ginger-garlic paste, coriander powder, turmeric powder, degi red chilli powder, fried onions, mint leaves and mix everything properly and keep aside for further use.
3)For Mutton Pulao,In a cooker heat ghee and add cinnamon stick, black cardamom, black pepper cons, marinated mutton and saute on medium heat until the mutton is light brown.
4)Now add the curd mixture and saute until fragrant or until the ghee starts coming up, then add water and close the lid then give it 3-5 whistles or until 80% cooked.
5)Let the cooker cool down then remove the lid and add water, fried onion, mint leaves, salt then bring it to a boil.
6)Once boiled add basmati rice, mix it once, now again close the lid and give it 2-3 whistles.
7)Switch off the flames and let the cooker cool down, remove the lid and let the rice set of 5-10 and then serve hot in a serving plate and garnish with mint leaves. "
68,Mutton Biryani,https://youtu.be/HI2-u2zu8Ss,"For marinade:Mutton - 1 kg,Turmeric powder - 3/4 tsp,Chili powder - 2 tsp,Salt - 1 tsp,For masala paste:Shallots - 6 nos.,Garlic cloves - 25 nos. (small cloves),Ginger - 1 piece (chopped),Green chili - 2 nos.,Red chili - 6 nos,Grated Coconut - 2 tsp,Few Mint leaves,Few Coriander leaves,Coriander powder - 1 tsp,Water,For pressure cooking:,Ghee - 2 tbsp,Oil - 1 tbsp ,Cinnamon,Cardamom pods,Cloves ,Bay leaves ,Onion - 4 nos. (thinly sliced),Tomato - 3 nos. (chopped),Ground Masala paste - 3 tbsp (approx.),Salt - 2 tsp + as required  ,Diluted coconut milk - 3 cups,Coriander leaves,Mint leaves,Basmati Rice - 3 cups (soaked for 30 mins) ","For marinade:
1)In a mixing bowl add mutton, turmeric powder, chili powder, and salt. Rub these ingredients well into the mutton pieces,Let it sit for 15 minutes.
2)For masala paste:In a blender add shallots, garlic cloves, ginger, green chili, red chili, grated coconut, mint leaves, coriander leaves and coriander powder.
3)Add little water and grind to a paste. Masala paste is ready. Keep this aside.
For pressure cooking:
1)Soak basmati rice for 30 minutes in water.
2)Heat ghee and oil in a pressure cooker. Add the whole spices (cinnamon, cardamom pods, clove, bay leaves).
3)Add the thinly sliced onions and saute till they turn brown in color.
4)Then add tomatoes and saute for few minutes.
5)Now add the ground masala paste and saute for few minutes.
6)Add the mutton pieces and salt. Mix well.
7)Add diluted coconut milk, coriander leaves, mint leaves and pressure cook the mutton for 6-7 whistles.
8)Once mutton is cooked check for seasoning,Keep the flame on low and add soaked basmati rice.
9)Cover the cooker with lid and let the steam come out,now place the weight and cook for 7 minutes.
10)Turn off the stove and let it sit for 5 minutes,Enjoy the pressure cooker mutton biryani with raita or any gravy of your choice."
69,Mint Mutton,https://youtu.be/zgJEWwpeOJw,"Mutton 1000 g,Coriander leaves 2b,Mint leaves 2b,Soya (Dill) leaves 1 b,Tomato 1n,Whole garam masala (each)3n,Peppercorn 1ts,Coriander seeds 1 ts,Shahi jeera,1 ts,Green chilly 6n,Ginger 1 inch piece,Garlic 4 cloves,Salt,Onions chopped 1 n,Turmeric pinch,Bay leaves 2 n ","1)Heat a pan add bay leaves, whole garam masala, pepper corn, coriander seeds, shahi jeera, dry roast the all ingredients and let it cool down and make a fine  powder.
2)Heat oil in a pan add green chilly, ginger, garlic, tomato, mint, coriander, dill leaves, cook this till the greens are cooked, let it cool down, put into the blender and make a paste.
3) In the same pan add oil, chopped onions, salt, turmeric, cook this till onions are slightly golden colour and add mutton pieces, garam masala, water, put the lid on and let it cook in a medium flame  till the mutton is tender, then add paste of green vegetables mix this and cook it for few minutes.
4)Serve this with roti, phulka and naan. "
70,Mutton,,,
71,Fish fry,https://youtu.be/8oo_oUDdiMY,"For marination:Turmeric powder1/4 tsp,Red Chilli Powder1 tsp,Salt3/4 tsp,For Masala Paste:Cumin seeds1 tsp,Dried Red Chillies2,Garlic10 cloves,Green Chillies2-3 (cut into 2),Red Chilli Powder1.5 tsp,Coriander Powder1.5 tsp,Turmeric Powder1/4 tsp,Other Ingredients:Onion, grated2 medium (around 130 gms),Kasuri Methi (dried Fenugreek leaves)1 tsp,Curry leaves15-20,,Tamarind, soaked in water4 tbsp juice,Thick coconut milk4 tbsp,Salt to taste1/2 tsp,Coriander leaves for garnishing2 tbsp,Oil 3 tbsp + oil for pan frying the fish pieces","1)Clean, wash and pat dry the fish pieces. Add the turmeric, red chilli powder, salt and mix well. Set aside for 30 mins.
2)To prepare the Masala paste, take a pan and dry roast the red chillies and cumin seeds on low heat for 1 minute. 
3)Now add the garlic cloves and continue roasting on low heat for another 2 mins. Set aside to cool. 
4)Add them to blender/grinder along with the green chillies.
5) Coarse grind,Now add 3-4 tbsp of water and blend it into a smooth paste. 
6)The masala paste should have thin consistency so you can add more water to make into a thin consistency.
7)To pan fry the marinated fish, add oil to a frying pan and place the fish pieces side by side.
8)Fry on medium heat for 2 mins and turn it on the other side. Continue to fry on medium heat for 2 mins. 
9)Take these out on a plate,Process:Heat oil in a flat pan or kadai.
10)Add the grated onions and fry on medium heat for 7-8 mins till light brown in colour
11)Now add the masala paste and give a mix, add 1/2 tsp salt to it and continue to fry on medium heat for 3 mins till water dries up and oil separates.
12)Add the dried fenugreek leaves (Kasuri Methi) and fry 1 min on medium heat. 
13)Add the curry leaves and fry on low to medium heat for 2 mins,Now add the tamarind juice, give a mix and then add 250 ml water. 
14)Cook it on medium heat till it comes to a boil.
15)Lower the heat and place the fried fish pieces side by side and cover & cook on low heat for 5 mins.
16)Remove lid and flip the fish pieces. Add the thick coconut milk, give a mix.
17)Cover & cook for another 10 mins on low heat till oil separates.
18)Garnish with the chopped coriander leaves, mix and simmer for a minute.
19)Serve with rice. "
72,Tandoori Fish,https://youtu.be/4h4A2kL77Ew,"400 grams Salmon fish fillets,cut into thick slabs,1 cup hung yogurt,3 teaspoons degi red chilli powder + for sprinkling,1 tablespoon ginger-garlic paste,Salt to taste,1 teaspoon garam masala powder,1 teaspoon dried fenugreek powder (kasuri methi),1 tablespoon mustard oil,Juice of lemon,3 cloves,1 teaspoon ghee,1 teaspoon oil,1 tablespoon butter,Mint mayonnaise chutney for garnishing,1-2 lollo rosso lettuce leaves,Mustard micro greens for garnishing,Lemon slice for garnishing,Mini onion rings for garnishing","1)To prepare marinade, take hung yogurt in a bowl. 
2)Add chilli powder, ginger-garlic paste, salt, garam masala powder, dried fenugreek powder, mustard oil and lemon juice and whisk well,Halve the fish fillets, add to the marinade and coat well from both sides. 
3)Refrigerate to marinate for 2 hours.
4)Place a piece of coal directly on heat.
5)Place the marinated fish fillets on the sides of a plate and place a small steel bowl in the center.
6)Put the hot coal in the steel bowl, add cloves and ghee in it and cover the plate. Set aside for 2 minutes.
7)Remove the steel bowl from the plate,Heat a non-stick grill pan, add oil and butter. Place the prepared fish fillets and cook from both sides for 2-3 minutes each or till golden brown, basting with the hot oil-butter mixture in the pan. 
8)Transfer on another plate,Put a spoonful of mint mayonnaise chutney on one side of a serving platter and spread using a brush.
9) Place lollo rosso lettuce leaves on other side and place cooked fish fillets on top.
10)Garnish with some mustard micro greens, a lemon slice and mini onion rings. Sprinkle some chilli powder on one side of the mint mayonnaise chutney garnish and serve hot."
73,Coconut Fish Gravy,https://youtu.be/AkRjYi-4fFw,"Boneless fish fillets  500 gms (Basa, Cod, Haddock,Sole or Catfish),For the Tempering:,Mustard Seeds 1/2 tsp,Curry Leaves 1015 leaves,Green Chillies chopped 23 nos,Onion Masala paste:,Onion, cubed 2 medium (150 gms.),Ginger chopped 1? piece,Garlic cloves 6,Cumin Seeds 1 tsp,Spice Powders:Turmeric Powder 1/2 tsp,Red Chilli Powder 2 tsp,Tomato pur‚e or paste 3 tbsp (readymade),Coconut Milk 1 cup (225 ml),White Vinegar 2 tsp,Refined Oil 3 tbsp,Salt 1 tsp","1)Make a paste of the cubed onions, peeled and chopped ginger, peeled garlic and cumin seeds. 
2)Remove and set aside,Chop the green chillies and wash & take out the curry leaves.
3)For the coconut milk you can use readymade coconut milk or make fresh coconut milk from fresh coconut at home.
4)For the fish, take boneless fish fillets and cut them into thick slices,Heat oil in a pan and add the mustard seeds. 
5)Once it splutters, add the curry leaves and the chopped green chillies,Give a stir and then add the Onion paste. 
6)Give a mix and continue to fry on medium heat for 78 mins till light brown in color.
7)Now add the tomato pur‚e, give a mix and fry on low heat for 2 mins,Now add the Turmeric, Red Chilli Powder and salt. 
8)Give a mix and fry on medium heat for 23 mins after adding 3 tbsp water till oil separates.
9)Add the coconut milk and 200 ml water, give a mix and cover & cook on low heat for 5 mins till oil separates.
10)Now add the boneless fish pieces and give a mix. Cover & cook on low heat for 10 mins.
11)Add the white vinegar, shake the pan to give a mix. Simmer on low heat for 2 mins.
12)Switch off heat, cover the lid and let it rest for 1530 mins before serving.
13)Serve it with rice."
